Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
KunZar		KIK24	1470250054111	5,0000	Unterhose-Madchen-Regenbogen-3er-Pack	116	Разноцветный	887_KunZar		1,0000
KunZar		KIK24	188209008221	5,0000	Unterhemden-Madchen-2er-Pack	116/128	Белый и розовый	889_KunZar		1,0000
KunZar		BONPRIX	91522081	7,9900	KleidundHaarband(2-tlg.Set)	116	violettorchidee	890_KunZar		1,0000
KunZar		H&M	422312	9,9900	GemustertesJerseykleid	110/116	Hellrosa	894_KunZar		1,0000
KunZar		KIK24	190882005361	5,0000	Leggings-Madchen-gerippt	116/122	schwarz	895_KunZar		1,0000
KunZar		KIK24	190882005361	5,0000	Leggings-Madchen-gerippt	116/122	schwarz	896_KunZar		1,0000
