Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
KimMar		H&M	478993	29,9900	Nylonjacke	XL	Dunkelblau	993_KimMar		1,0000
KimMar		H&M	472982	12,9900	Pikeeshirt	XL	Weinrot/Gestreift	994_KimMar		1,0000
KimMar		H&M	522353	7,9900	GerippteMutze		Schwarzmeliert	996_KimMar		1,0000
KimMar		H&M	471090	39,9900	Windbreaker	52	Schwarz	1008_KimMar		1,0000
KimMar		H&M	369735	6,9900	Sweatshirt	L	Dunkelgraumeliert	1046_KimMar		1,0000
KimMar		H&M	500616	9,9900	Pikeeshirt	XL	Dunkelblau	1047_KimMar		1,0000
KimMar		H&M	429229	10,0000	Merino	XL	Grau	1048_KimMar		1,0000
KimMar		H&M	414874	10,0000	Rugbyshirt	L	Dunkelblau/Gestreift	1049_KimMar		1,0000
KimMar		H&M	424612	12,0000	PulloverausMerinowolle	XL	Wei?/Gestreift	1050_KimMar		1,0000
KimMar		H&M	455843	19,9900	Push-up-BHausSpitze	80Â	Blau	1051_KimMar		1,0000
KimMar		H&M	455890	7,9900	HipsterausSpitze	42	Blau	1052_KimMar		1,0000
