Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
OmaAyg		HM	431512	10,0000	Sneakers	24	Koralle	553_OmaAyg	http://m.hm.com/de/product/05405?article=05405-A&variant=024	1,0000
OmaAyg		HM	426266	5,0000	Sweatshirt	98/104	Hellbeigemeliert	554_OmaAyg	http://m.hm.com/de/product/40615?article=40615-B&variant=098	1,0000
OmaAyg		HM	422070	8,0000	Shirts	98/104	Dunkelblau	555_OmaAyg	http://m.hm.com/de/product/36195?article=36195-H&variant=098	1,0000
OmaAyg		HM	422346	6,0000	Jeans	92	Blau	556_OmaAyg	http://m.hm.com/de/product/10566?article=10566-A&variant=092	1,0000
OmaAyg		HM	418330	5,0000	Strickmutze	92/104	Dunkelblau	557_OmaAyg	http://m.hm.com/de/product/48579?article=48579-A&variant=095	1,0000
OmaAyg		HM	403566	7,0000	Pullover	92	Koralle	558_OmaAyg	http://m.hm.com/de/product/48555?article=48555-A&variant=092	1,0000
OmaAyg		HM	420167	7,0000	Pullover	122/128	Dunkelblau	560_OmaAyg	http://m.hm.com/de/product/36236?article=36236-B&variant=122	1,0000
OmaAyg		HM	421876	10,0000	Kapuzenjacke	122/128	Graumeliert	561_OmaAyg	http://m.hm.com/de/product/32515?article=32515-B&variant=122	1,0000
