Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL
KozSve		AMAZON	ESAX01S	14,9500	AmelloArmbandKeramikRingschwarzDamenEdelstahlschmuckStainlessSteelESAX01S	0	Schwarz	280_KozSve	http://www.amazon.de/Amello-Armband-Edelstahlschmuck-Stainless-ESAX01S/dp/B00DEH1V4A/ref=sr_1_75?s=jewelry&ie=UTF8&qid=1418281584&sr=1-75
KozSve		AMAZON	E40504	19,5000	KarismaEdelstahlDamenOhrringe-SchwarzeKeramikGlieder-HochPoliertHohe37mmE4050-4	0	Schwarze	306_KozSve	http://www.amazon.de/Karisma-Edelstahl-Damen-Ohrringe-Schwarze/dp/B00GBJWGUG/ref=sr_1_125?s=jewelry&ie=UTF8&qid=1418365945&sr=1-125
KozSve		AMAZON	ESOX01S	9,9500	AmelloOhrringeKeramikRingschwarzDamenOhrsteckerEdelstahlschmuckStainlessSteelESOX01S	0	Schwarze	307_KozSve	http://www.amazon.de/Amello-Ohrstecker-Edelstahlschmuck-Stainless-ESOX01S/dp/B00DEFQFNO/ref=sr_1_14?s=jewelry&ie=UTF8&qid=1418384445&sr=1-14
EreGal		H&M	474430	14,9900	SlimJeans	128	Blau	346_EreGal	http://www.hm.com/de/product/07653?article=07653-A&cm_vc=PRA1#article=07653-A
EreGal		H&M	501291	9,9900	Basketballschuhe	32	Blau	347_EreGal	http://www.hm.com/de/product/58749?article=58749-D&cm_vc=GOES_WITH_PD#article=58749-D
EreGal		H&M	491132	7,9900	Henleyshirt	122/128	Wei?	348_EreGal	http://www.hm.com/de/product/74450?article=74450-B&cm_vc=GOES_WITH_PD#article=74450-B
KimMar		H&M	448165	10,0000	Широкиебрюки/(Slacks)	42	синие с рисунком	361_KimMar	http://www.hm.com/de/product/02192?article=02192-P#article=02192-P
KimMar		H&M	432367	10,0000	Pullover	S	Hellblau	366_KimMar	http://www.hm.com/de/product/36299?article=36299-C#article=36299-B
KimMar		H&M	488124	8,0000	PlissierterRock	L	Blau/Wei? gestreift	367_KimMar	http://www.hm.com/de/product/25604?article=25604-B&variant=006
KimMar		H&M	512937	14,9900	2er-PackShirts	110-116	Hellrosa/Frozen	368_KimMar	http://www.hm.com/de/product/36195?article=36195-G&fromSearch=frozen&cm_vc=SEARCH#article=36195-K
KimMar		H&M	433467	12,0000	Feinstrick-Pullover	S	Hellgraumeliert	369_KimMar	http://www.hm.com/de/product/30665?article=30665-D#article=30665-C
KimMar		H&M	433478	12,0000	Свитерсмолнией	L	Hellbeigemeliert	370_KimMar	http://www.hm.com/de/product/30665?article=30665-D#article=30665-D
KimMar		H&M	446510	10,0000	Langarmbluse	S	Wei?	371_KimMar	http://www.hm.com/de/product/29926?article=29926-C#article=29926-C
KimMar		H&M	587002	6,9900	BestickteMutze	110/128	Hellbeige	372_KimMar	http://www.hm.com/de/product/33321?article=33321-B&fromSearch=M%C3%BCtze&cm_vc=SEARCH
KimMar		H&M	428539	9,0000	GefutterteSchlupfhose	116	Dunkelblau	373_KimMar	http://www.hm.com/de/product/36681?article=36681-A#article=36681-A
KimMar		H&M	427706	6,0000	BoleroausGlitzerstrick	110-116	Hellrosa	374_KimMar	http://www.hm.com/de/product/48725?article=48725-B#article=48725-C
EryoTat		H&M	434633	12,0000	Zopfpullover	M	Naturwei?	377_EryoTat	http://www.hm.com/de/product/28875?article=28875-A&variant=005#article=28875-A
EryoTat		H&M	426101	5,0000	Sneakers	40	Blau/Geblumt	378_EryoTat	http://www.hm.com/de/product/18444?article=18444-G&variant=040#article=18444-G
EryoTat		H&M	442842	8,0000	Super-Push-upausMicrofaser	75С	 Hellrosa	380_EryoTat	http://www.hm.com/de/product/08985?article=08985-J&variant=375#article=08985-J
EryoTat		H&M	426046	5,0000	Ballerinas	40	Dunkelbeige	381_EryoTat	http://www.hm.com/de/product/08433?article=08433-E&variant=040#article=08433-E
