Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL
MuxNaz		MYTOYS	1734840	49,9900	RainforestdeluxeActivityKrabbeldeckemitSpielbogen			61_MuxNaz	http://www.mytoys.de/Fisher-Price-Fisher-Price-Rainforest-deluxe-Activity-Krabbeldecke-mit-Spi/0-bis-1-Jahr/KID/de-mt.mk.weihnachtswerbung.01.01/1734840
MuxNaz		MYTOYS	3399165	13,9900	BuggyfreundeMobile			62_MuxNaz	http://www.mytoys.de/Fisher-Price-Fisher-Price-Buggyfreunde-Mobile/Fisher-Price-ab-0-Monaten/Fisher-Price/KID/de-mt.to.br01.13.01/3399165
NakZhan		ZARA	2398233	29,9500	Kunstlederrock	XS	Schwarz	69_NakZhan	http://www.zara.com/de/de/neuware/kunstlederrock-c634898p2143015.html
NakZhan		ZARA	7888281	59,9500	Blazermitellbogenschonern	XS	Marineblau	70_NakZhan	http://www.zara.com/de/de/damen/jacken/blazer-mit-ellbogenschonern-c269184p2315009.html
NakZhan		ZARA	7901245	39,9500	Rohrenkleidmitv-ausschnitt	XS	Schwarz	71_NakZhan	http://www.zara.com/de/de/damen/kleider/trf/r%C3%B6hrenkleid-mit-v-ausschnitt-c498029p2137520.html
NakZhan		ZARA	7998361	39,9500	Taillierteskleidmitreissverschlussenanderschulter	XS	Grun	72_NakZhan	http://www.zara.com/de/de/damen/kleider/uni/tailliertes-kleid-mit-reissverschl%C3%BCssen-an-der-schulter-c663014p2229022.html
NakZhan		ZARA	8192373	29,9500	Blusemitschleifeandertaille	XS	Marineblau	73_NakZhan	http://www.zara.com/de/de/damen/oberteile/blusen/bluse-mit-schleife-an-der-taille-c498003p2306012.html
NakZhan		H&M	576039	9,9900	Jerseyshirt	XS	Schwarz	74_NakZhan	http://www.hm.com/de/product/34975?article=34975-A&variant=003
NakZhan		H&M	579247	9,9900	Jerseyshirt	XS	Wei?	75_NakZhan	http://www.hm.com/de/product/19061?article=19061-F&variant=003
NakZhan		H&M	539523	7,9900	Jerseyshirt	XS	Senfgelb	76_NakZhan	http://www.hm.com/de/product/45210?article=45210-B&variant=003
NakZhan		H&M	537393	24,9900	Feinstrick-Kleid	XS	Graumeliert	77_NakZhan	http://www.hm.com/de/product/51853?article=51853-A&variant=003
