Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
BalZar		H&M	422377	5,0000	Treggings	104	Leopardenmuster	1057_BalZar		1,0000
BalZar		H&M	374456	10,0000	Spitzenkleid	92	Gold	1058_BalZar		1,0000
BalZar		H&M	472930	5,0000	HaarreifmitKrone		Gold	1059_BalZar		1,0000
BalZar		H&M	422602	5,0000	Treggings	92	Dunkelblau	1060_BalZar		1,0000
BalZar		H&M	421489	5,0000	Jerseyleggings	s	Leopardenmuster	1061_BalZar		1,0000
BalZar		H&M	538325	12,9900	Leopardenmuster	20/21	Gold	1062_BalZar		1,0000
