Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
BosDin		H&M	9767	5,0000	Divided,Jerseytop	XS	Schwarz	479_BosDin	http://www.hm.com/de/product/23282?article=23282-F&variant=003#article=23282-F	1,0000
BosDin		H&M	4328	15,0000	Yogashirt	S	Graumeliert	480_BosDin	http://www.hm.com/de/product/35976?article=35976-A&variant=004	1,0000
BosDin		H&M	2200	17,0000	EleganteSweathose	34	Schwarz	481_BosDin	http://www.hm.com/de/product/37065?article=37065-A&variant=034	1,0000
LiNat		ZARA	421973580054	7,9900	HUT	M	SCHWARZ	516_LiNat	https://www.zara.com/webapp/wcs/stores/servlet/ShopCartPage?catalogId=27051&orderId=.&langId=-3&storeId=10705	1,0000
LiNat		ZARA	585456080218	9,9900	cordhose	12-18 Monate (86 cm)	GRAU	517_LiNat	http://www.zara.com/de/de/schlussverkauf/kinder/baby-jungen/hosen/five-pocket-cordhose-c634864p2005460.html	1,0000
LiNat		H&M	487085	7,9900	Hosentrager		Schwarz	518_LiNat	http://www.hm.com/de/product/23821?article=23821-A	1,0000
TurBag7		AMAZON	IN4503WH	238,0000	Ingersoll-GrandCanyonII	41	gold	520_TurBag7	http://www.amazon.de/Herrenarmbanduhr-Ingersoll-Grand-Canyon-IN4503WH/dp/B00EDFTX2E/ref=pd_sim_sbs_watches_5?ie=UTF8&refRID=0ZTFFXDB3QZMRRY0HWE6	1,0000
LiNat		H&M	451907	24,9900	Sneakers	25	Naturwei?	699_LiNat		1,0000
LiNat		H&M	457505	9,9900	Basketballschuhe	18/19	Dunkelblau	700_LiNat		1,0000
LiNat		H&M	487085	7,9900	Hosentrager		Schwarz	703_LiNat		1,0000
DosAin		CA	129586.1	15,0000	BabyJacke	80	Rot	747_DosAin		1,0000
DosAin		CA	133944.1	5,0000	BabySchuhchen	17/18	Hellbraun	748_DosAin		1,0000
DosAin		CA	133924.1	5,0000	BabySchuhchen	17/18	Beige	749_DosAin		1,0000
DosAin		CA	133752.1	7,0000	Babystrickjacke	68	Rot	750_DosAin		1,0000
DosAin		CA	134945.1	7,0000	Babyoverall	68	Dunkenblau	751_DosAin		1,0000
DosAin		CA	132627.2	7,0000	Thermojeans	116	Jeansblau	752_DosAin		1,0000
DosAin		CA	134433.2	5,0000	Strickmutze	54/56	Rosa	753_DosAin		1,0000
DosAin		CA	133725.1	5,0000	Strumpfhosen	110/116	Dunkelgrau	754_DosAin		1,0000
RozhEvg		7TRENDS	121212	12,0000	Test01	XL	red	755_RozhEvg		1,0000
LiNat		MANGO	33097525	9,9900	PULLOVER	3-4 jahre	naturwei?	850_LiNat		1,0000
LiNat		MANGO	33045576	8,9900	JOGGINGHOSE	3-4	pastellgrau	851_LiNat		1,0000
LiNat		H&M	456928	9,9900	Sweathose	86	Dunkelgrau	852_LiNat		1,0000
LiNat		H&M	468255	7,9900	7er-PackStrumpfe	19/21	Grun	853_LiNat		1,0000
LiNat		H&M	455679	14,9900	Spitzenshirt	98	Naturwei?	854_LiNat		1,0000
LiNat		H&M	469360	9,9900	7er-PackStrumpfe	25/27	Hellrosa	855_LiNat		1,0000
EryoTat		H&M	464266	9,9900	Jerseykleid	М	Naturwei?/Geblumt	859_EryoTat		1,0000
EryoTat		MANGO	33080173	9,9900	BERMUDASHORTSIMCHINO-STIL	40	dunkelrot	860_EryoTat		1,0000
OmaAyg		H&M	438050	30,0000	Cardigan	Xs	Braun	903_OmaAyg		1,0000
OmaAyg		H&M	423002	9,9900	Maxikleid	158/164	Schwarz	904_OmaAyg		1,0000
OmaAyg		H&M	458132	9,9900	Haremshose	164	Schwarz	905_OmaAyg		1,0000
OmaAyg		H&M	466589	5,9900	Armreife		Gold	906_OmaAyg		1,0000
OmaAyg		H&M	417547	7,9900	Shirts	158/164	Weis	907_OmaAyg		1,0000
OmaAyg		H&M	472030	29,9900	Chino	34	Hellbeige	909_OmaAyg		1,0000
OmaAyg		H&M	438958	6,0000	Rollkragenpullover	Xs	Dunkelblau	910_OmaAyg		1,0000
OmaAyg		H&M	471229	9,9900	Shirts	 Xs	Orange	911_OmaAyg		1,0000
OspAyzh8		H&M	456818	9,9900	Sweatshirt	92	blau	941_OspAyzh8		1,0000
		H&M	456940	9,9900	Sweathose	92	blau	942_fximojnd		1,0000
OspAyzh8		H&M	437290	5,0000	Sweathose	92	blau	944_OspAyzh8		1,0000
OspAyzh8		H&M	451474	7,9900	Sweatshirt	92	blau	945_OspAyzh8		1,0000
OspAyzh8		H&M	468137	29,9900	Parka	98	dunkelblau	946_OspAyzh8		1,0000
EreGal		H&M	123456	58,0000	тест	33	3	980_EreGal		0,9500
RozhEvg		BABY-WALZ	123123123	10,0000	Test			1106_RozhEvg		1,0000
Kostareva		H&M	406836	20,0000	куртка	140	зеленый	1114_Kostareva		0,9500
Kostareva		H&M	516319	17,0000	жакет	140	синий	1115_Kostareva		0,9500
OspAyzh8		H&M	465197	19,9900	steppjacke	110	hellrosa/glitzer	1129_OspAyzh8		1,0000
		GERRY_WEBER	77029615176	19,9900	ERSTKLASSIGESLANGARMSHIRT	42	Schwarz	1131_q0mt5rtm		1,0000
		GERRY_WEBER	86006574088	29,9900	FASZINIERENDELANGARMBLUSE	42	Schwarz	1132_q0mt5rtm		1,0000
		GERRY_WEBER	57001891419	15,9900	LASSIGESLANGARMSHIRT	42	Mostar Gruen	1133_q0mt5rtm		1,0000
RozhEvg		3PAGEN	121212	10,0000	Test	XL	Red	1160_RozhEvg		1,0000
RozhEvg		BAUR	123123	11,0000	Test	XXL	green	1161_RozhEvg		1,0000
OspAyzh8		H&M	383333	5,0000	Sweatshirt	104	grun	1163_OspAyzh8		1,0000
OspAyzh8		H&M	462430	12,9900	Sneaker	26	Grun	1165_OspAyzh8		1,0000
OspAyzh8		H&M	472998	5,0000	Sonnenbrille		Weib	1166_OspAyzh8		1,0000
OspAyzh8		H&M	460982	6,9900	Capmitdruck	104	Grun/turtles	1167_OspAyzh8		1,0000
OspAyzh8		H&M	431418	12,9900	Blusenkleid	86	Hellblau	1168_OspAyzh8		1,0000
OspAyzh8		H&M	465683	9,9900	Ballerinas	21	Blau	1169_OspAyzh8		1,0000
OspAyzh8		H&M	465900	5,9900	Cap	86	Hellblau	1170_OspAyzh8		1,0000
KozSve		AMAZON	SDUBDO0500273	22,0000	SchmuckLesPoulettes-SilberRhodiumOhrringeundKleinenWei?enKreisKeramik	0	Wei?	1181_KozSve		1,0000
Agdare		ZARA	8025749	47,0000	пальто	178	хаки	1193_Agdare		1,0000
Agdare5		ZARA	8025749	47,0000	пальто	178	хаки	1194_Agdare5		1,0000
