Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
ShleYuli		H&M	411203	17,0000	комбинезон	92	розовый	810_ShleYuli		1,0000
ShleYuli		H&M	446942	10,0000	куртка	80	бело с черным	811_ShleYuli		1,0000
ShleYuli		H&M	468642	5,9900	беретка	74/80	бирюзово с розовый	812_ShleYuli		1,0000
ShleYuli		H&M	428603	6,0000	ролувер	80	серый	813_ShleYuli		1,0000
ShleYuli		H&M	464210	7,0000	джинсовыйкомбинезон	86	голубой	814_ShleYuli		1,0000
ShleYuli		H&M	435201	7,0000	куртка	92	розовый	815_ShleYuli		1,0000
