Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
OmaAyg		HM	432483	6,0000	Basketballschuhe	24	Schwarz	569_OmaAyg	http://m.hm.com/de/product/27433?article=27433-A&variant=024	1,0000
OmaAyg		HM	424665	7,0000	Chino	128	Taupe	571_OmaAyg	http://m.hm.com/de/product/25310?article=25310-D&variant=128	1,0000
OmaAyg		HM	442931	7,0000	Sweathose	92	Hellrosa	573_OmaAyg	http://m.hm.com/de/product/58798?article=58798-A&variant=092	1,0000
OmaAyg		HM	431272	5,0000	Jerseyshirt	92	Hellgraumeliert	576_OmaAyg	http://m.hm.com/de/product/52871?article=52871-B&variant=092	1,0000
OmaAyg		3PAGEN	430533	7,0000	Brogues	24	Schwarz	583_OmaAyg	http://m.hm.com/de/product/13553?article=13553-A&variant=024	1,0000
OmaAyg		3PAGEN	424301	8,0000	Sneaker	24	Silber	584_OmaAyg	http://m.hm.com/de/product/31414?article=31414-A&variant=024	1,0000
OmaAyg		3PAGEN	457930	19,9900	Sneaker	31	Dunkelblau	588_OmaAyg	http://m.hm.com/de/product/62100?article=62100-A&variant=031	1,0000
OmaAyg		3PAGEN	454109	14,9900	Superstrechhose	164	Schwarz	591_OmaAyg	http://m.hm.com/de/product/21091?article=21091-B&variant=164	1,0000
OmaAyg		3PAGEN	413943	12,0000	Funktionsjacke	98	Weinrot	592_OmaAyg	http://m.hm.com/de/product/08383?article=08383-D&variant=098	1,0000
OmaAyg		3PAGEN	436966	6,0000	Sneaker	31	Dunkelblau	594_OmaAyg	http://m.hm.com/de/product/27925?article=27925-B&variant=031	1,0000
OmaAyg		HM	437402	7,9900	Jeans	128	Blau	596_OmaAyg	http://m.hm.com/de/product/17163?article=17163-C&variant=128	1,0000
OmaAyg		HM	412363	10,0000	Kardigan	S	Dunkelblau	597_OmaAyg	http://m.hm.com/de/product/43175?article=43175-B&variant=004	1,0000
OmaAyg		HM	422413	6,0000	Treggings	98	Rot	598_OmaAyg	http://m.hm.com/de/product/37064?article=37064-J&variant=098	1,0000
OmaAyg		HM	475027	7,9900	Schlupfjeans	98	Dunkelblau	599_OmaAyg	http://m.hm.com/de/product/45053?article=45053-A&variant=098	1,0000
OmaAyg		HM	442942	7,0000	Sweathose	92	Grau	600_OmaAyg	http://m.hm.com/de/product/58798?article=58798-B&variant=092	1,0000
