Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
EryoTat		H&M	447267	5,0000	HotpantsausSpitze	42 	Dunkelrosa	601_EryoTat		1,0000
EryoTat		H&M	418578	8,0000	SweathoseSkinnyFit	L 	 Grau 	602_EryoTat		1,0000
EryoTat		H&M	441522	6,0000	BustierausSpitze	75C	Cerise/Geblumt 	603_EryoTat		1,0000
EryoTat		H&M	402955	16,9900	Kapuzenjacke	 L 	Mintgrun 	604_EryoTat		1,0000
EryoTat		CA	136850.1	7,0000	Kleid	Ì	cremefarben		605_EryoTat		1,0000
