Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
KozSve		AMAZON	ESAX01S	14,9500	AmelloArmbandKeramikRingschwarzDamenEdelstahlschmuckStainlessSteelESAX01S	0	Schwarz	280_KozSve	http://www.amazon.de/Amello-Armband-Edelstahlschmuck-Stainless-ESAX01S/dp/B00DEH1V4A/ref=sr_1_75?s=jewelry&ie=UTF8&qid=1418281584&sr=1-75	1,0000
KozSve		AMAZON	E40504	19,5000	KarismaEdelstahlDamenOhrringe-SchwarzeKeramikGlieder-HochPoliertHohe37mmE4050-4	0	Schwarze	306_KozSve	http://www.amazon.de/Karisma-Edelstahl-Damen-Ohrringe-Schwarze/dp/B00GBJWGUG/ref=sr_1_125?s=jewelry&ie=UTF8&qid=1418365945&sr=1-125	1,0000
KozSve		AMAZON	ESOX01S	9,9500	AmelloOhrringeKeramikRingschwarzDamenOhrsteckerEdelstahlschmuckStainlessSteelESOX01S	0	Schwarze	307_KozSve	http://www.amazon.de/Amello-Ohrstecker-Edelstahlschmuck-Stainless-ESOX01S/dp/B00DEFQFNO/ref=sr_1_14?s=jewelry&ie=UTF8&qid=1418384445&sr=1-14	1,0000
PetTat		OTTO	215528P	119,9900	MORE&MOREBlousonmitMinimuster-Struktur	36	marine	402_PetTat	https://www.otto.de/p/more-more-blouson-mit-minimuster-struktur-460212868/#variationId=460212873	1,0000
KunZar		H&M	501543	14,9900	KleidmitTullrock	122/128	Dunkelblau/Frozen	453_KunZar	http://www.hm.com/de/product/79482?article=79482-A&fromSearch=frozen&cm_vc=SEARCH#article=79482-A	1,0000
KunZar		H&M	501543	14,9900	KleidmitTullrock	122/128	Dunkelblau/Frozen	454_KunZar	http://www.hm.com/de/product/79482?article=79482-A&fromSearch=frozen&cm_vc=SEARCH#article=79482-A	1,0000
KunZar		H&M	437413	7,0000	SkinnyFitJeans	128	Blau	455_KunZar	http://www.hm.com/de/product/31318?article=31318-A#shopOrigin=SA	1,0000
KunZar		H&M	501580	9,9900	Jerseyleggings	128	Dunkelblau/Frozen	456_KunZar	http://www.hm.com/de/product/68287?article=68287-A&fromSearch=frozen&cm_vc=SEARCH#article=68287-A	1,0000
KunZar		H&M	489551	9,9900	2er-PackJerseyshirts	122/128	Hellrosa	457_KunZar	http://www.hm.com/de/product/67078?article=67078-D	1,0000
KunZar		H&M	506827	9,9900	Jerseypyjama	122/128	Hellrosa	458_KunZar	http://www.hm.com/de/product/27104?article=27104-D&fromSearch=pyjama%20kinder&cm_vc=SEARCH	1,0000
