Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
Ainur_kali		ZARA	3224001050	19,9900	ballerinatrf	38	rosa	1407_Ainur_kali		1,0000
Ainur_kali		MANGO Outlet	23089020	12,9900	ledersandalen	38		  Wei?	1410_Ainur_kali		1,0000
