Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
Saltanat_s		ZARA	2144172	29,9500	blusemitvichy-karoundvolantarmeln	M	белый	1620_Saltanat_s		1,0000
Saltanat_s		ZARA	1013734	35,9500	jacquard-jacke	12-18 monate	белый	1623_Saltanat_s		1,0000
Saltanat_s		ZARA	7134564	10,9500	sweatshirtguipure-spitze	12-18 monate	белый	1624_Saltanat_s		1,0000
Saltanat_s		ZARA	5798501	16,9500	hemdmithakelpasse	12-18 monate	 белый	1625_Saltanat_s		1,0000
Saltanat_s		ZARA	7099551	5,0000	langarm-shirtmitapplizierter	12-18 monate	белый	1626_Saltanat_s		1,0000
Saltanat_s		ZARA	9881648	16,9500	poncho-handtuchminnimaus	18-24 monate	розовый	1627_Saltanat_s		1,0000
Saltanat_s		GINGAR	6656609	8,9500	kissen"cakeshop"	30?8?19	разноцветный	1628_Saltanat_s		1,0000
