Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
ShakDiyo		HM	413954	12,0000	WattierteFunktionsjacke	98	Petrol	545_ShakDiyo	http://www.hm.com/de/product/08383?article=08383-E#shopOrigin=SA	1,0000
ShakDiyo		HM	422037	8,0000	2er-PackShirts	98)104	Lila/Rapunzel	546_ShakDiyo	http://www.hm.com/de/product/36195?article=36195-E#shopOrigin=SA	1,0000
ShakDiyo		HM	423071	9,9900	GemustertesJerseykleid	98)104	     Multistreifen	547_ShakDiyo	http://www.hm.com/de/product/29639?article=29639-I#article=29639-A	1,0000
