Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL
ZhanNad		H&M	505194	9,0000	Baseballshirt	M	Rot	169_ZhanNad	http://www.hm.com/de/product/17383?article=17383-C#article=17383-C
SmaMur		AMAZON	B00H7TVD9Y	21,9500	moko-VOY-QK-141108M-bk-mA		SCHWARZ	181_SmaMur	http://www.amazon.de/MoKo-Kindle-Voyage-H%C3%BClle-Case-SCHWARZ/dp/B00H7TVD9Y/ref=sr_1_3?ie=UTF8&qid=1417499293&sr=8-3&keywords=kindle+voyage+case+moko
SmaMur		AMAZON	1024220412	6,0000	dipos			182_SmaMur	http://www.amazon.de/dipos-Amazon-kindle-voyage-Schutzfolie/dp/B00NSGB854/ref=sr_1_194?ie=UTF8&qid=1417497943&sr=8-194&keywords=kindle+voyage+case
EreGal		OTTO	47161192	13,9900	ArizonaJeansbluse	38 (S)	orange	189_EreGal	https://www.otto.de/p/arizona-jeansbluse-337091917/#variationId=340145399
EreGal		OTTO	76530579	14,9900	MauiWowieFreizeitschuhMalia	40	gepunktet	190_EreGal	https://www.otto.de/p/maui-wowie-freizeitschuh-malia-329812815/#variationId=329842545
EreGal		OTTO	66045480	59,9900	TamarisBootsausVeloursledermitSchnalle	39	 blau	192_EreGal	https://www.otto.de/p/tamaris-boots-aus-veloursleder-mit-schnalle-376940596/#variationId=376985841
