Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
KozSve		AMAZON	ESAX01S	14,9500	AmelloArmbandKeramikRingschwarzDamenEdelstahlschmuckStainlessSteelESAX01S	0	Schwarz	280_KozSve	http://www.amazon.de/Amello-Armband-Edelstahlschmuck-Stainless-ESAX01S/dp/B00DEH1V4A/ref=sr_1_75?s=jewelry&ie=UTF8&qid=1418281584&sr=1-75	1,0000
KozSve		AMAZON	E40504	19,5000	KarismaEdelstahlDamenOhrringe-SchwarzeKeramikGlieder-HochPoliertHohe37mmE4050-4	0	Schwarze	306_KozSve	http://www.amazon.de/Karisma-Edelstahl-Damen-Ohrringe-Schwarze/dp/B00GBJWGUG/ref=sr_1_125?s=jewelry&ie=UTF8&qid=1418365945&sr=1-125	1,0000
KozSve		AMAZON	ESOX01S	9,9500	AmelloOhrringeKeramikRingschwarzDamenOhrsteckerEdelstahlschmuckStainlessSteelESOX01S	0	Schwarze	307_KozSve	http://www.amazon.de/Amello-Ohrstecker-Edelstahlschmuck-Stainless-ESOX01S/dp/B00DEFQFNO/ref=sr_1_14?s=jewelry&ie=UTF8&qid=1418384445&sr=1-14	1,0000
PetTat		OTTO	215528P	119,9900	MORE&MOREBlousonmitMinimuster-Struktur	36	marine	402_PetTat	https://www.otto.de/p/more-more-blouson-mit-minimuster-struktur-460212868/#variationId=460212873	1,0000
EreGal		H&M	412162	12,0000	Slacks	40	Dunkelrosa	409_EreGal	http://www.hm.com/de/product/23890?article=23890-D&variant=040#article=23890-D	1,0000
EreGal		H&M	436234	10,0000	GestreiftesKapuzenshirt	M	Dunkellila	410_EreGal	http://www.hm.com/de/product/26189?article=26189-A&variant=005	1,0000
EreGal		H&M	419455	6,0000	Fleecejacke	122/128	Orange/Gestreift	411_EreGal	http://www.hm.com/de/product/22859?article=22859-A&variant=122#article=22859-A	1,0000
EreGal		CA	132695.1	5,0000	Socken	31/33	blau	414_EreGal	http://www.c-and-a.com/de/de/shop/sale/jungen-gr-92-182/jungen-gr-122-182/socken/socken/socken-132695-1.html	1,0000
EreGal		TOM_TAILOR	35216190082	19,9700	SteppjackemitKapuze	128/134	dark brick red	437_EreGal	http://www.tom-tailor.de/index.php?go=produkt/7/42/4/35216190082/4486/128:134&a=0	1,0000
