Category;SubCategory;ArticleNumber;ArticleName;ArticleDescription;Colour;ArticleURL;ImageURL;OldPrice;NewPrice;Quantity
Для женщин;Футболки и топы;138885;Top Frontprint;In längerer Form. Mit Rundhalsausschnitt und Frontdruck im aktuellen Ethno-Style. Armausschnitt mit modischem Umschlag. Weiche Jerseyqualität. Produkttyp: Top. Passform: Figurbetont. Träger: Ohne Träger. Saum: Durchgesteppt. Kragen: Ohne. Bündchen: Ohne. Ausschnitt: Rundhals. Stil: Feminin. Optik: Bedruckt. Auslieferung: Liegend. Pflegehinweise: Maschinenwäsche. Material: Jersey. Gesamtlänge: 72. Materialzusammensetzung: Obermaterial: 50% Baumwolle, 50% Polyester.;wollweiss;http://www.corso.de/products/138885~Top-Frontprint.html;http://www.corso.de/images/generated/media/81b698b41c214918ed6381a95d3b5b.jpg;22,39000;4,89000;1
Для женщин;Футболки и топы;14568;Druckshirt;In Wickeloptik,mit Raffungen und Tupfendruck. Shaping-Effekt: Der Power-Mesh-Einsatz lässt Tailleund Bauch schlanker erscheinen! FigurbetonteForm. L ca. 64 cm. 95% Vis kose, 5%Elasthan. Power-Mesh aus 80% Polyamid20% Elasthan. Waschbar.;taupe;http://www.corso.de/products/14568~Druckshirt.html;http://www.corso.de/images/generated/media/238129fc6eeaec986418d14b55ab58b4.jpg;72,66000;10,35000;1
Для женщин;Футболки и топы;184033;Spaghettitop;Das supersofte und vielseitige Jerseytop ist brillant im lässigen Lagen-Look tragbar oder perfekt zu unseren tollen Röcken kombinierbar. Druck: 100% Baumwolle. Jersey: 100% Viskose.;pink;http://www.corso.de/products/184033~Spaghettitop.html;http://www.corso.de/images/generated/media/cc5f47b9b2167c3e3f7127176ab162.jpg;30,80000;6,15000;1
Для женщин;Футболки и топы;185209;Druckshirt;Vorne topmodisch bedruckt, an den Schultern mit Nieten bestickt, angesagte Fledermausärmel - ein echtes Trendteil. Länge ca. 64 cm. Figurbetonte Form. Vorne glänzende Webware aus 100% Polyester. Hinten weißer Jersey aus 93% Baumwolle, 7% Elasthan. Waschbar.;bunt;http://www.corso.de/products/185209~Druckshirt.html;http://www.corso.de/images/generated/media/4d23c8f5adad2bcdaa92ebc7742e3ed.jpg;51,66000;8,53000;1
Для женщин;Футболки и топы;2350;Drucktop;Fashion-Highlight für entspannte Sommertage! Hingucker: der extravagant bedruckte Flammé-Stoff und die gedrehten Träger. Länge ca. 76 cm. Figurbetonte Form. Aus 100% Baumwolle. Waschbar.;taupe;http://www.corso.de/products/2350%7C12702K01~Drucktop.html;http://www.corso.de/images/generated/media/3c6066ba93330375d8c6ea4740b314.jpg;44,66000;8,25000;1
Для женщин;Футболки и топы;28313;T-Shirt;Mit Rundhalsausschnitt. Brusttasche mit Spitzendetails. Weich fließendes Material. Länge ca. 64 cm. Figurbetonte Form. 95% Viskose, 5% Elasthan. Waschbar.;mint;http://www.corso.de/products/28313%7C12902K01~T-Shirt.html;http://www.corso.de/images/generated/media/9bab1afe839d7a66589ab8d3c45b1e7.jpg;37,66000;6,99000;1
Для женщин;Футболки и топы;287697;Top;Größenangepasste Länge von 70 bis 78 cm. Ripp-Ware aus 100% Baumwolle.;marine;http://www.corso.de/products/287697~Top.html;http://www.corso.de/images/generated/media/99bc748854710492badfb3579a4ff9.jpg;27,99000;5,87000;1
Для женщин;Футболки и топы;296794;Longshirt;Ein echter Hingucker in trendiger Patchwork-Optik mit Spitzendruck. Kurze Ärmel. Länge ca. 83 cm. Softe, stretchige Qualität aus 70% Viskose, 28% Polyester 2% Elasthan.;grau/schwarz;http://www.corso.de/products/296794%7C12402K04~Longshirt.html;http://www.corso.de/images/generated/media/217292c0ecedcb26ac26ea79d85f9510.jpg;58,79000;10,35000;1
Для женщин;Футболки и топы;31702;T-Shirt;Mit Rundhalsausschnitt. Brusttasche mit Spitzendetails. Weich fließendes Material. Länge ca. 64 cm. Figurbetonte Form. 95% Viskose, 5% Elasthan. Waschbar.;koralle;http://www.corso.de/products/31702%7C12902K01~T-Shirt.html;http://www.corso.de/images/generated/media/daf70192848e3b9b29dfd8e9646ed.jpg;37,66000;6,99000;1
Для женщин;Футболки и топы;31949;T-Shirt;.;hellgrau;http://www.corso.de/products/31949~T-Shirt.html;http://www.corso.de/images/generated/media/83fb43818fe0e294aa938fba5c6d1.jpg;44,66000;8,11000;1
Для женщин;Футболки и топы;325968;Top;Top, Tamaris. Länge ca. 64 cm. 95% Viskose, 5% Elasthan.;helloliv;http://www.corso.de/products/325968~Top.html;http://www.corso.de/images/generated/media/ea5a8cf62e3211b671223608ad9e23.jpg;36,39000;7,83000;1
Для женщин;Футболки и топы;33330;Rundhalsshirt;Vorne leichte Ballonoptik, hinten modisch länger. Körperumspielende Form in raffinierter Wickeloptik. Länge ca. 72 cm. 100% Polyester. Waschbar.;koralle;http://www.corso.de/products/33330~Rundhalsshirt.html;http://www.corso.de/images/generated/media/8ae229a2d24824116b76f6d221dbea.jpg;58,66000;9,79000;1
Для женщин;Футболки и топы;35192;Shirttop;Mit Rundhalsausschnitt. Länge ca. 60 cm. Figurbetonte Form. 100% Baumwolle (Organic Cotton). Waschbar.;marine;http://www.corso.de/products/35192~Shirttop.html;http://www.corso.de/images/generated/media/c0611849247f8f912850dd5637a257.jpg;44,66000;7,69000;1
Для женщин;Футболки и топы;358393;Shirt weiter Arm;Longshirt von MELROSE. Mit halblangen Flügelärmeln und breitem Bündchen. Mit modischem Blumenprint. Weich fließende Viskosequalität mit Stretch. Produkttyp: Longshirt. Passform: Sehr figurbetont. Pflegehinweise: Maschinenwäsche. Materialzusammensetzung: Obermaterial: 95% Viskose, 5% Elasthan.;bedruckt;http://www.corso.de/products/358393~Shirt-weiter-Arm.html;http://www.corso.de/images/generated/media/6942bb52f2b5cfc6bece7bb9d9df37.jpg;51,79000;8,67000;1
