Category;SubCategory;ArticleNumber;ArticleName;ArticleDescription;Colour;ArticleURL;ImageURL;OldPrice;NewPrice;Quantity
Eddie Bauer;Schuhe;101159;Da. Schnuerschuh Nubuk;Dieser bequeme Schuh aus Nubukleder besticht durch schlichte Details wie Zehn Loch Schnürung und kontrastfarbene Ziernähte (nur bei Farbe Braun). Mit Textilfutter und Innensohle aus Leder. Profilierte und besonders flexible Synthetiklaufsohle.100% Leder;bordeaux;http://www.corso.de/products/101159~Da-Schnuerschuh-Nubuk.html;http://www.corso.de/images/generated/media/b5279b86e0601b3c12c1711861d383f.jpg;128,73000;17,15000;1
Eddie Bauer;Schuhe;139408;Da. Leder Pumps;Schöner Leder Pumps in Antik Optik mit matter Schliesse in Silber. Das Gummiband unter der Schliesse sorgt für einen perfekten Sitz. Mit Lederfutter und Synthetiklaufsohle. Trichterabsatz in Holz Optik.100% Leder;taupe;http://www.corso.de/products/139408~Da-Leder-Pumps.html;http://www.corso.de/images/generated/media/1d94ca76fd5cae29bf618c873774d592.jpg;114,73000;15,55000;1
Eddie Bauer;Herrenmode;156159;He. Leichte Chino Hose;Lässiger Chino Look in einem besonders leichten und griffigen Baumwoll Twill, der auch bei steigenden Temperaturen kühl und bequem bleibt. Mit zwei verstärkten, schrägen Eingrifftaschen vorn und knöpfbaren Pattentaschen hinten.100% CO;grau 32;http://www.corso.de/products/156159%7C13099DED00000grau032105~He-Leichte-Chino-Hose.html;http://www.corso.de/images/generated/media/5384b5a65c82a56f77979a8b57d5b.jpg;86,73000;12,36000;1
Eddie Bauer;Herrenmode;134650;He. Ka Polo;Aus hochwertiger, gekämmter Baumwolle in PiquÃ© Struktur. Hinten ein wenig länger. Mit Seitenschlitzen und sportivem Kragen mit kurzer Knopfleiste. Kragen und Ärmelbündchen aus Rippenware.100% CO;grau;http://www.corso.de/products/134650~He-Ka-Polo.html;http://www.corso.de/images/generated/media/aa2ca47c449946cf39da4313dbeb2a3.jpg;37,73000;6,78000;1
Eddie Bauer;Herrenmode;156809;He. Cargohose gefuette;Diese Hose vereint robusten Baumwoll Twill mit wärmendem Flanellfutter aus angerauter Baumwolle im typischen Schottenkaromuster. Vorn mit Eingrifftaschen, hinten Klapptaschen, Cargotaschen am Bein. Vorgewaschen für den unverwechselbaren Look und ein angenehmes Tragegefühl.Obermaterial und Futter: 100% Baumwolle.;sand 32;http://www.corso.de/products/156809~He-Cargohose-gefuette.html;http://www.corso.de/images/generated/media/24304bc14eda6e388798d49f3b69831.jpg;114,73000;15,55000;1
Eddie Bauer;Herrenmode;172757;He. LA Slub Polo;Das Pique Polo mit bequemer Rückenpasse hat Krempelärmel mit Manschetten und zwei geknöpfte Klappentaschen. Die Knopfleiste ist mit einem Webbesatz versehen, am leicht gerundeten Saum hat das Polo zusätzlich seitliche Zierverstärkungen. Durch die Pique Slubware ensteht eine attraktive Oberflächenstruktur.99% Cotton, 1% Elasthan.;gruen;http://www.corso.de/products/172757~He-LA-Slub-Polo.html;http://www.corso.de/images/generated/media/aec46895abf8c39ff9cb1afa3394581.jpg;58,73000;9,18000;1
Eddie Bauer;Herrenmode;173206;He. Bootcut Jeans;Jede einzelne Jeans aus robustem Ring Denim erhält bei uns von Hand eine Sandwaschung und wird dadurch zum Einzelstück, keine zwei Hosen sehen in ihrer Waschung genau gleich aus. Klassischer Five Pocket Stil mit verstärkten Eingrifftaschen vorn.100% CO;dk wash 34;http://www.corso.de/products/173206~He-Bootcut-Jeans.html;http://www.corso.de/images/generated/media/242c748387f7dacb4d521d50ed239cce.jpg;86,73000;12,36000;1
Eddie Bauer;Herrenmode;173320;He. Relaxed Fit Jeans;Diese Jeans aus robustem Ring Denim erhält bei uns von Hand eine Sandwaschung und wird dadurch zum Einzelstück, keine zwei Hosen sehen in ihrer Waschung genau gleich aus. Klassischer Five Pocket Stil mit verstärkten Eingrifftaschen vorn.100% CO;lt wash 34;http://www.corso.de/products/173320~He-Relaxed-Fit-Jeans.html;http://www.corso.de/images/generated/media/8f9a5acfcdb4b4ded463aac899cfe8.jpg;86,73000;12,36000;1
Eddie Bauer;Herrenmode;185490;He. Cargohose;Der perfekte Begleiter für Ihre Outdooraktivitäten. Unsere Cargohose ist aus erstaunlich weichem, vorgewaschenen Baumwoll Twill. Die extragrossen Cargotaschen haben wir etwas höher am Bein angesetzt, damit Sie schnell und bequem an alles herankommen.100% CO;beige 32;http://www.corso.de/products/185490~He-Cargohose.html;http://www.corso.de/images/generated/media/513c24785769dcb22354fc89bed61.jpg;100,73000;13,96000;1
Eddie Bauer;Herrenmode;186261;He. Cargohose Futter;Diese Cargohose überzeugt nicht nur durch die besondere Karo Optik. Das kontrastfarbene Jerseyfutter sorgt für zusätzliche Wärme an kalten Wintertagen.100% Cotton;braun/grau34;http://www.corso.de/products/186261~He-Cargohose-Futter.html;http://www.corso.de/images/generated/media/b05c25cc7025d89b35d4a8c3c5e2bc3.jpg;128,73000;17,15000;1
Eddie Bauer;Accessoires;143730;Tex Karoschal;In wunderbar leuchtenden Frühlingsfarben. Weiche Baumwoll Qualität.100% Cotton.;gelb;http://www.corso.de/products/143730~Tex-Karoschal.html;http://www.corso.de/images/generated/media/14a876cb7ec29534be8771b9059ae55.jpg;58,73000;10,49000;1
Eddie Bauer;Shirts + Tops Damen;108869;Da. Jerseyshirt;Klassisches Jerseyshirt in Slub Qualität mit Y Ausschnitt. Die schöne Stickkante an Schulterpasse und Saumabschluss verleiht diesem Shirt eine besondere Note.0;altrose;http://www.corso.de/products/108869~Da-Jerseyshirt.html;http://www.corso.de/images/generated/media/845670153fb61ac23797f5a772ca4990.jpg;58,73000;8,89000;1
Eddie Bauer;Shirts + Tops Damen;120675;Da. Blusentop;Bedrucktes Blusentop aus leichter Baumwoll Qualität. Rundhalsausschnitt mit Knopfleiste. Mit Rückenpasse und leichter Kräuselung unterhalb der Schulterpasse. Wir empfehlen Ihnen dieses Blusentop eine Nummer kleiner zu bestellen.100% Cotton;koralle;http://www.corso.de/products/120675~Da-Blusentop.html;http://www.corso.de/images/generated/media/d3d87f889caa93daa99155e6759756dc.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;121506;Da. Waffelshirt Spitze;Weiches und bequemes Waffelshirt in seinem ganz eigenen Look. Mit Spitzenbesatz an der Schulterpasse und entlang der Teilungsnähte vorn. Mit femininem Y Ausschnitt. Rückenpasse und Teilungsnaht hinten.70& Acrylic / 30% Wolle 3GG;beere;http://www.corso.de/products/121506~Da-Waffelshirt-Spitze.html;http://www.corso.de/images/generated/media/d4d347c3d6972f97a0f8cc28eebe4.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;121764;Da. Poloshirt 3 4 Arm;Unsere Klassiker in neuem Schnitt: Die Poloshirts mit Stretchanteil für besonderen Tragekomfort sind jetzt etwas länger geschnitten. Der extraweiche, atmungsaktive Baumwoll Pique ist knitterarm, läuft kaum ein und bildet kaum Knötchen auch nach vielen Wäschen nicht. Mit schmaler Knopfleiste vorn und Seitenschlitzen.95% Baumwolle, 5% Elasthan;pink;http://www.corso.de/products/121764%7C13099DED00000000pink105~Da-Poloshirt-3-4-Arm.html;http://www.corso.de/images/generated/media/481495559196b7e01a68cd1bd2d822c.jpg;51,73000;8,37000;1
Eddie Bauer;Shirts + Tops Damen;136743;Da. Henleyshirt;Der leicht gesmokte und geraffte Halsausschnitt und die kurze Knopfleiste geben diesem T Shirt einen ganz neuen Look. Aus leicht strukturierter Slub Qualität. Bequem geschnitten. Raglanärmel. Offene Kantenverarbeitung am Ausschnitt.0;petrol;http://www.corso.de/products/136743%7C13099DED000000petrol105~Da-Henleyshirt.html;http://www.corso.de/images/generated/media/9db55f64fc7513e08971d76ecb01a8.jpg;51,73000;8,37000;1
Eddie Bauer;Shirts + Tops Damen;151455;Da. 3 4 Arm Shirt;Rüschen entlang des Ausschnitts und der vorderen Mitte. Mit 3 4 Arm.Body:57%cttn 38%polyester 5%spdx/ Trim: 70% Cotton 30% Silk;schwarz;http://www.corso.de/products/151455~Da-3-4-Arm-Shirt.html;http://www.corso.de/images/generated/media/a7a9d07c8832411d63be9787482313.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;160309;Da. Boyfriend Shirt;Dieses lässige Shirt mit Rundhals, Knopfleiste und Kurzarm ist die ideale Kombination zum Cardigan. Die gedrehte Ausschnittblende macht das Shirt zu einem echten Hingucker. Den Ärmel ziert ausserdem ein Riegel mit Knopf.100% Cotton;hl braun;http://www.corso.de/products/160309~Da-Boyfriend-Shirt.html;http://www.corso.de/images/generated/media/cd305ee2944fb3d5f34d5a8e3d5d8ef6.jpg;37,73000;6,78000;1
Eddie Bauer;Shirts + Tops Damen;188186;Da. La Shirt mit V;Dieses Shirt besticht durch seinen schönen V Ausschnitt mit zwei übereinanderliegenden Rollkanten und Raffungen vorn. Weiches Langarmshirt aus Baumwolle in legerem Schnitt und mit leicht gerundetem Saum.0;weiss;http://www.corso.de/products/188186%7C13099DED0000000weiss105~Da-La-Shirt-mit-V.html;http://www.corso.de/images/generated/media/d43cdcdb8421f225da3e7cc81f4f1c1.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;192452;Da. Ringelshirt;Weiches Langarmshirt mit Y Ausschnitt und kleinem Knopf. Bequem geschnitten.95% CO, 5% EL;weiss/rot;http://www.corso.de/products/192452~Da-Ringelshirt.html;http://www.corso.de/images/generated/media/7159e9d81ae73c3b7caf5ee854560a5.jpg;65,73000;9,97000;1
Eddie Bauer;Shirts + Tops Damen;192674;Da. La Shirt;Der figurnahe Schnitt macht es ideal zum Tragen unter Jacken und Pullovern.90%CO,10%EL;dk blau;http://www.corso.de/products/192674~Da-La-Shirt.html;http://www.corso.de/images/generated/media/ece8edc9c46d69ec44646d409a9058.jpg;37,73000;6,78000;1
Eddie Bauer;Shirts + Tops Damen;199183;Da. La Shirt mit V;Dieses Shirt besticht durch seinen schönen V Ausschnitt mit zwei übereinanderliegenden Rollkanten und Raffungen vorn. Weiches Langarmshirt aus Baumwolle in legerem Schnitt und mit leicht gerundetem Saum.0;grau meliert;http://www.corso.de/products/199183~Da-La-Shirt-mit-V.html;http://www.corso.de/images/generated/media/9ef995f653fc489c9cdf9b2ef4eeb1ec.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;167866;Da. Shirt mit 3 4 Arm;Dieses Shirt ist aus der gleichen tollen Qualität wie unser Easy Fit Shirt, hat aber eine figurnahe Passform.100% CO;hellrot;http://www.corso.de/products/167866~Da-Shirt-mit-3-4-Arm.html;http://www.corso.de/images/generated/media/6a6ac118903ad2eae39ee419910d2e.jpg;30,73000;5,99000;1
Eddie Bauer;Shirts + Tops Damen;129248;Da. Henleyshirt;Dieses Henleyshirt mit besonderen Details ist Ihr neuer Favorit: mit Rüschen aus Seidenchiffon, Y Ausschnitt mit Knopfleiste und offen gearbeiteten Säumen.70% Cotton, 30% Polyamid.;anthrazit;http://www.corso.de/products/129248%7C13099DED000anthrazit105~Da-Henleyshirt.html;http://www.corso.de/images/generated/media/651f8fb5ec75bea3f14256442d1416.jpg;65,73000;9,97000;1
Eddie Bauer;Shirts + Tops Damen;133456;Da. Henleyshirt;Unser Henleyshirt aus angenehm weicher Rippenware ist leicht tailliert und dennoch wunderbar leger. Kleine Knopfleiste mit farblich abgestimmten Knöpfen. Die offene Kantenverarbeitung an Ärmelsäumen, Knopfleiste und Ausschnitt runden das Shirt ab.100% Cotton;blau;http://www.corso.de/products/133456%7C13099DED00000000blau105~Da-Henleyshirt.html;http://www.corso.de/images/generated/media/f74c8fa3ef2120979225b5e58e4a8e79.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;141002;Da. Shirt Seidenbesatz;Unser klassisches Shirt mit 3 4 Arm aus weichem Jersey hat jetzt noch mehr Chic. Mit dekorativem Seidenbesatz entlang und unterhalb des Ausschnitts.100% Wolle.;taupe;http://www.corso.de/products/141002~Da-Shirt-Seidenbesatz.html;http://www.corso.de/images/generated/media/4c76a69d98c773f76eb661bf179ba990.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;146338;Da. T Shirt Rueschen;Shirt mit Raglanärmeln und Rüschen am Halsausschnitt sowie Raffungen an Vorder und Rückenpasse. Aus weicher, leichter Baumwolle in Slub Qualität. Mit Y Ausschnitt, der in einer Knopfleiste endet.100%CO;oliv;http://www.corso.de/products/146338~Da-T-Shirt-Rueschen.html;http://www.corso.de/images/generated/media/ad3d7283760bc5ba46bac6553bc596a.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;160009;Da. Boyfriend Shirt;Dieses lässige Shirt mit Rundhals, Knopfleiste und Kurzarm ist die ideale Kombination zum Cardigan. Die gedrehte Ausschnittblende macht das Shirt zu einem echten Hingucker. Den Ärmel ziert ausserdem ein Riegel mit Knopf.100% Cotton;hl tuerkis;http://www.corso.de/products/160009~Da-Boyfriend-Shirt.html;http://www.corso.de/images/generated/media/5f69dd9c8f212cfbdfc37895c9dcdc22.jpg;37,73000;6,78000;1
Eddie Bauer;Shirts + Tops Damen;169017;Da. V Langarmshirt;Wunderbar weiche, gekämmte Baumwolle in hochwertiger Rippenqualität macht unser bequemes und elastisches Shirt zum unverzichtbaren Basic.100% Cotton;hellrot;http://www.corso.de/products/169017~Da-V-Langarmshirt.html;http://www.corso.de/images/generated/media/70079ff3ed29193c5a7971cbc7d464.jpg;34,93000;6,47000;1
Eddie Bauer;Shirts + Tops Damen;178516;Da. La Shirt;Dieses Langarmshirt ist nicht einfach nur ein Shirt: das Material aus Seide und Modal macht es aussergewöhnlich weich und sorgt für einen wunderschönen Faltenwurf. Der tiefe Rundhalsausschnitt und die kleine Brusttasche runden dieses besondere Shirt ab.100% CO;rosenrot;http://www.corso.de/products/178516~Da-La-Shirt.html;http://www.corso.de/images/generated/media/ec2e99638a9129a43020ed2b556f93.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;188290;Da. T Shirt;Unser klassisches Shirt mit 3 4 Arm aus weichem Jersey hat jetzt noch mehr Chic. Mit dekorativem Seidenbesatz entlang und unterhalb des Ausschnitts.Obermaterial: 57% Baumwolle, 38% Polyester, 5% Elasthan. Besätze: 70% Baumwolle, 30% Seide.;taubenblau;http://www.corso.de/products/188290~Da-T-Shirt.html;http://www.corso.de/images/generated/media/ccdc8f7e534b54ee3d516c94d5319d65.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;147685;Da. T Shirt;Unser klassisches Shirt mit 3 4 Arm aus weichem Jersey hat jetzt noch mehr Chic. Mit dekorativem Seidenbesatz entlang und unterhalb des Ausschnitts.Obermaterial: 57% Baumwolle, 38% Polyester, 5% Elasthan. Besätze: 70% Baumwolle, 30% Seide.;petrol;http://www.corso.de/products/147685~Da-T-Shirt.html;http://www.corso.de/images/generated/media/8ac6863fbcc117a65146659e7dc8a4.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;150077;Da. Ka Poloshirt;Klassische Poloshirts in bewährter Pique Qualität und uni, an denen Sie lange Freude haben werden. Sie laufen nicht ein, die Farben verblassen nicht und es bilden sich keine Knötchen. Seitlich kleine Schlitze.95% Cotton 5% spandex;pflaume;http://www.corso.de/products/150077~Da-Ka-Poloshirt.html;http://www.corso.de/images/generated/media/c7b224c7f2421d34c1cd85c10b283f7.jpg;44,73000;7,59000;1
Eddie Bauer;Shirts + Tops Damen;151273;Da. Poloshirt;Die spezielle Webart verpasst unserem Klassiker einen tollen neuen Look. Die vorgewaschene Qualität ist herrlich weich und verblasst auch nach vielen Wäschen nicht. Kragen aus Rippenware. Mit schmaler Knopfleiste und Seitenschlitzen.95% Cotton 5% Spandex;gruen;http://www.corso.de/products/151273~Da-Poloshirt.html;http://www.corso.de/images/generated/media/a39369c6be23da865d482155ad04fb3.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;161920;Da. Kapuzenshirt;Viel weicher als ein normales Sweatshirt ist unser Kapuzenshirt aus Doubleface Baumwolle: aussen mit Streifen Ton in Ton, innen unifarben einen Ton dunkler. Die weitgeschnittenen Ärmel schliessen mit Bündchen ab. Im Vorderteil ist ein Reissverschluss eingearbeitet. Die Bündchen, Taschenblende, Kapuzenränder und ein breiter Streifen an der Kapuze sind unifarben.100% Cotton;hl oliv;http://www.corso.de/products/161920~Da-Kapuzenshirt.html;http://www.corso.de/images/generated/media/2ee916ba9d34c7c9953eff7d231f0e9.jpg;72,73000;10,78000;1
Eddie Bauer;Shirts + Tops Damen;168659;Da. Langarmshirt;Wunderbar weiche, gekämmte Baumwolle in hochwertiger Rippenqualität macht unser bequemes und elastisches Shirt zum unverzichtbaren Basic.100% Cotton;hellrot;http://www.corso.de/products/168659~Da-Langarmshirt.html;http://www.corso.de/images/generated/media/64cd938c1061c6ef86e9d65a477.jpg;34,93000;6,47000;1
Eddie Bauer;Shirts + Tops Damen;179903;Da. Langarmshirt;Dieses Langarmshirt überzeugt nicht nur durch einen modischen Look, sondern auch durch ein unübertroffen weiches Tragegefühl. Der etwas tiefere Rundhalsausschnitt setzt dabei einen lässigen Akzent. Mit Schulter und Rückenpasse sowie Ziertasche vorn.65% Polyester, 35% Viscose;anthrazit;http://www.corso.de/products/179903~Da-Langarmshirt.html;http://www.corso.de/images/generated/media/6c699db227653f746dd92b3b318838.jpg;44,73000;7,59000;1
Eddie Bauer;Shirts + Tops Damen;180287;Da. Henleyshirt;Der mit zarter Lochstickerei versehene Popeline Besatz entlang der Knopfleiste gibt dem Ausschnitt dieses Henleyshirts eine aparte Note. In Slub Qualität mit Raglanärmeln, die man aufrollen und mit Riegeln fixieren kann. Mit Metallknöpfen.100% CO;navy;http://www.corso.de/products/180287~Da-Henleyshirt.html;http://www.corso.de/images/generated/media/f3daeac15c8f9bf8715b14c706f2449.jpg;58,73000;9,18000;1
Eddie Bauer;Shirts + Tops Damen;184514;Da. T Shirt Rundhals;Aus strukturiertem Baumwoll Jersey. Mit offener Kantenverarbeitung am Ausschnitt.100% Cotton Slub Jersey;pink;http://www.corso.de/products/184514%7C13099DED00000000pink105~Da-T-Shirt-Rundhals.html;http://www.corso.de/images/generated/media/a690b864219ea4c462bd7e2eaeafe9ba.jpg;37,73000;6,78000;1
Eddie Bauer;Shirts + Tops Damen;192714;Da. Shirt;Weiches Langarmshirt mit Y Ausschnitt und kleinem Knopf. Bequem geschnitten.95% CO, 5% EL;navy;http://www.corso.de/products/192714~Da-Shirt.html;http://www.corso.de/images/generated/media/645de44fa5e03c8b81536e759eaa39df.jpg;65,73000;9,97000;1
Eddie Bauer;Röcke + Blusen Damen;108360;Da. Bluse gemustert;Mit der neuen Comfortclothing Ausrüstung, die diese Bluse atmungsaktiv, feuchtigkeitstransportierend und knitterfrei macht. Auch nach vielen Wäschen behält sie garantiert ihre Form und Farbe. Mit langen Manschetten.97% Cotton 3% Spandex;lila;http://www.corso.de/products/108360~Da-Bluse-gemustert.html;http://www.corso.de/images/generated/media/25dabeeef2f750c5535036c82783eef8.jpg;86,73000;12,31000;1
Eddie Bauer;Röcke + Blusen Damen;111637;Da. Tankbluse m Druck;Tankbluse mit vielseitigem Druck. Mit geraffter Frontpartie sowie Raffungen an der Rückenpasse. Blende mit Haken und Ösen zu schliessen. Der Bund ist leicht gerundet.100%Cotton;violett;http://www.corso.de/products/111637~Da-Tankbluse-m-Druck.html;http://www.corso.de/images/generated/media/f016272bc2f35cce25a818d996db8ca1.jpg;58,73000;9,18000;1
Eddie Bauer;Röcke + Blusen Damen;125519;Da. Jeansbluse;Alle Details, die Sie an einem Anorak so schätzen, haben wir auch in dieser hinreissend modischen Jeansbluse aus leichtem Sommerdenim verarbeitet. Lässiger Umlegekragen mit sportivem Kordeldurchzug an der Aussenkante. Robuste Dreifachnähte sorgen für Langlebigkeit. Mit zwei seitlichen Eingrifftaschen, Haken und Ösen Details. Brustabnäher sorgen für eine feminine Silhouette und optimale Passform.100% Cotton;grau;http://www.corso.de/products/125519~Da-Jeansbluse.html;http://www.corso.de/images/generated/media/34e3b20e7404dedd1f1cf9e9843eb2.jpg;114,73000;15,53000;1
Eddie Bauer;Röcke + Blusen Damen;136937;Da. Bluse;Diese luftig leichte Bluse ist aus einem angenehmen Leinen Baumwoll Gemisch. Mit dem Tunnelzug in der Taille kann die Weite reguliert und die feminine Silhouette betont werden. Zwei tiefe Eingrifftaschen und zwei Brust Klappentaschen mit Knopf vorn. Verdeckte Knopfleiste mit Druckknöpfen vorn und doppellagiger Passe hinten. Perfekte Passform durch Abnäher in Brusthöhe. Ärmel mit Manschetten und Schlitz.55% Linen 45% Cotton;dk gruen;http://www.corso.de/products/136937~Da-Bluse.html;http://www.corso.de/images/generated/media/5a17a11ccf62dfb3242f786bc68d2ab.jpg;100,73000;13,96000;1
Eddie Bauer;Röcke + Blusen Damen;145316;Da. Cargorock;Bei diesem Rock erhält Wolle einen sportlichen Touch.Mit zwei Taschen an der Taille und zwei Cargotaschen. Reissverschluss hinten und Gürtelschlaufen.Wool: 55% WOOL 40% ACRYLIC 5% POLYESTER  Twill: 99% Cotton 1% Spandex;braun;http://www.corso.de/products/145316~Da-Cargorock.html;http://www.corso.de/images/generated/media/ffc89d3f7d9eec3c9323a7d5e9ad72.jpg;100,73000;13,99000;1
Eddie Bauer;Röcke + Blusen Damen;156717;Da. 3 4 Bluse uni;Mit der neuen Comfortclothing Ausrüstung ist diese Bluse atmungsaktiv, feuchtigkeitstransportierend und knitterfrei. Auch nach vielen Wäschen behält sie garantiert ihre Form und Farbe. Paarweise angeordnete Knöpfe.97% Cotton 3% Freefit;orchidee;http://www.corso.de/products/156717~Da-3-4-Bluse-uni.html;http://www.corso.de/images/generated/media/d57622e1287a3fc1c16a66787df93163.jpg;86,73000;12,36000;1
Eddie Bauer;Röcke + Blusen Damen;165744;Da. Bluse gestreift;Mit neuer Comfortclothing Technologie, die diese Blusen atmungsaktiv, feuchtigkeitstransportierend und knitterfrei macht. Auch nach vielen Wäschen behalten sie garantiert Form und Farbe. Mit Brustabnähern sowie Taillenabnähern hinten.97% Cotton, 3% Freefit;tuerkis;http://www.corso.de/products/165744~Da-Bluse-gestreift.html;http://www.corso.de/images/generated/media/12b13cb1d5ffd065147bb9dd1f9f.jpg;86,73000;12,36000;1
Eddie Bauer;Röcke + Blusen Damen;178147;Da. Jeansrock;Dieser knielange Jeansrock ist körpernah geschnitten und besticht durch seine durchgehende Zierknopfleiste vorn. In klassischem Five Pocket Stil und komfortablem Schnitt.98%CO,2%EL;denim;http://www.corso.de/products/178147~Da-Jeansrock.html;http://www.corso.de/images/generated/media/9feeb16fcd57aa9231a02220cd643478.jpg;86,73000;12,31000;1
Eddie Bauer;Röcke + Blusen Damen;185658;Da. Ka Tunikabluse;Breite kontrastfarbene Stickereien zieren diese Tunikabluse entlang der vorderen Blende, die sich mit Haken und Ösen schliessen lässt. Mit einem Zugband unterhalb der Brustpartie zum Regulieren der Silhouette. Gekrempelte Armabschlüsse, gerundeter Saum.100% Cotton;blau gestr;http://www.corso.de/products/185658%7C13099DED00blau0gestr105~Da-Ka-Tunikabluse.html;http://www.corso.de/images/generated/media/5bcaaab8ca07689717b786d4a9254a5.jpg;86,73000;12,36000;1
Eddie Bauer;Röcke + Blusen Damen;101655;Da. Tunika;Mit der neuen Comfortclothing Technologie, die diese Bluse atmungsaktiv, feuchtigkeitstransportierend und knitterfrei macht. Auch nach vielen Wäschen behält sie garantiert Form und Farbe. Mit Brustabnähern und Seitenschlitzen.97% Cotton, 3% Elasthan.;oliv;http://www.corso.de/products/101655~Da-Tunika.html;http://www.corso.de/images/generated/media/aa5393e4b4fa508724614fafb0e2a.jpg;86,73000;12,36000;1
Eddie Bauer;Röcke + Blusen Damen;120418;Da. Canvasrock;Er ist unten leicht ausgestellt und lässt sich in der Taille mit zwei knöpfbaren Riegeln regulieren. Mit Teilungsnähten vorn und hinten. Eine Falte unterhalb der Teilungsnaht sorgt für zusätzliche Bewegungsfreiheit. Zwei seitliche Eingrifftaschen vorn, zwei Gesässtaschen mit Patte und verdecktem Druckknopf hinten. Gürtelschlaufe hinten in der Mitte.100% CO;oliv;http://www.corso.de/products/120418~Da-Canvasrock.html;http://www.corso.de/images/generated/media/b66f9f2e6dfab07f5fbd3662365f8f6c.jpg;86,73000;12,36000;1
Eddie Bauer;Röcke + Blusen Damen;131508;Da. Cordbluse;Klassische Bluse mit Faltenband an der Knopfleiste. Mit Brustabnähern für einen femininen Sitz. Mit leicht gerundetem Saum und dekorativer Schulterpasse vorn und hinten. Ein Knopf Manschetten mit geknöpftem Schlitz.99% Cotton 1% Spandex;dk oliv;http://www.corso.de/products/131508~Da-Cordbluse.html;http://www.corso.de/images/generated/media/491f418d6cc3c3c5dbf1eae1bea217.jpg;72,73000;10,78000;1
Eddie Bauer;Röcke + Blusen Damen;153155;Da. Bluse;Ein Tunnelzug mit Bindeband ermöglicht eine individuelle Weitenregulierung dieser Tunika Druckbluse. Der Hemdblusenkragen und die schmalen, geschlitzten Ärmelmanschetten runden dieses Modell perfekt ab. Blusensaum ist leicht gerundet.100% Cotton;navy;http://www.corso.de/products/153155~Da-Bluse.html;http://www.corso.de/images/generated/media/83ac15664b77ce72361fb97cfcb038cb.jpg;72,73000;10,78000;1
Eddie Bauer;Röcke + Blusen Damen;153427;Da. Karo Bluse;Modisch, legere Bluse mit Hemdblusenkragen und leicht gerundetem Saum. Die Brustabnäher vorn, die Rückenpasse und Taillenabnäher hinten sorgen für einen tollen Sitz. Das besondere Highlight sind die Biesen entlang der Knopfleiste, die ab der Taille aufspringen.100% Cotton;beere/taupe;http://www.corso.de/products/153427~Da-Karo-Bluse.html;http://www.corso.de/images/generated/media/dfde58d94188ae5f8ec26e81c84ab46d.jpg;86,73000;12,36000;1
Eddie Bauer;Röcke + Blusen Damen;169728;Da. Tunikabluse karo;Weiche karierte Tunikabluse mit Hemdblusenkragen. Die Knopfleiste sorgt für bequemes An und Ausziehen. Das untere Ende der Knopfleiste ist mit Dekoriegel und Knopf verziert. Für einen legeren Look können die Ärmel aufgerollt und mit Knopf und Riegel fixiert werden. Der leicht gerundete Saum hat Seitenschlitze und sorgt zusammen mit der Bewegungsfalte vorn für mehr Tragekomfort.100 % Cotton;blau karo;http://www.corso.de/products/169728~Da-Tunikabluse-karo.html;http://www.corso.de/images/generated/media/1cd84250d2d9996893152491891f2d.jpg;86,73000;12,36000;1
Eddie Bauer;Röcke + Blusen Damen;175959;Da. Tunika;Der aktuelle Look für diesen Sommer: eine lange Tunika mit Bindeband und Tunnelzug in der Taille, die zu Jeans oder knielangen Shorts einfach toll aussieht. Die 3 4 Ärmel lassen sich hochgekrempelt fixieren. Mit Rückenpasse, klassischem Hemdblusenkragen und Seitenschlitzen am Saum. Rotkariert leicht elastisch in legerer Crinkle Optik, gestreift aus einer Baumwoll Leinen Mischung.95% Cotton, 4% Polyester, 1% Elasthan.;rot;http://www.corso.de/products/175959~Da-Tunika.html;http://www.corso.de/images/generated/media/301f70fbf4e25a18645ccc4e5143f92.jpg;100,73000;13,96000;1
Eddie Bauer;Röcke + Blusen Damen;177997;Da. 3 4 Bluse gestr;Mit der neuen Comfortclothing Ausrüstung ist diese Bluse atmungsaktiv, feuchtigkeitstransportierend und knitterfrei. Auch nach vielen Wäschen behält sie garantiert ihre Form und Farbe. Paarweise angeordnete Knöpfe.97% Cotton 3% Spandex;rot;http://www.corso.de/products/177997~Da-3-4-Bluse-gestr.html;http://www.corso.de/images/generated/media/9bd2b4f1a1c440fcfa9f17991237ca83.jpg;86,73000;12,36000;1
