Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL
MuxNaz		H&M	24089	9,9900	Jerseyset	80	Turkis	97_MuxNaz	http://www.hm.com/de/product/24089?article=24089-E#article=24089-B
MuxNaz		H&M	40561	12,9900	SweatshirtmitTop	158/164	Hellbeige	98_MuxNaz	http://www.hm.com/de/product/40561?article=40561-B#article=40561-B
MuxNaz		H&M	28884	14,9900	TwillhoseSlimFit	164	Dunkellila	99_MuxNaz	http://www.hm.com/de/product/28884?article=28884-C#article=28884-C-164
MuxNaz		H&M	28287	19,9900	SkinnyFitJeans	164	Blau	100_MuxNaz	http://www.hm.com/de/product/28287?article=28287-A
MuxNaz		H&M	33900	12,9900	JerseyshirtmitSpitze	158/164	Dunkelblau	101_MuxNaz	http://www.hm.com/de/product/33900?article=33900-C
MuxNaz		H&M	44284	12,9900	Feinstrick-Kleid	92	Graumeliert	102_MuxNaz	http://www.hm.com/de/product/44284?article=44284-A#article=44284-A
EreGal		ORSAY	90581960	15,0000	TaschemitNieten	0	Schwarz	104_EreGal	http://www.orsay.com/de-de/sale/accessoires/tasche-mit-nieten-schwarz-90581960.html
EreGal		ORSAY	91181060	8,0000	Portemonnaie	0	Schwarz	105_EreGal	http://www.orsay.com/de-de/sale/accessoires/portemonnaie-schwarz-91181060.html
AmaNaz8		OTTO	50342989	159,9900	JackWolfskinIceguardFunktionsmantel	L (42/44)	Schwarz	111_AmaNaz8	https://www.otto.de/p/jack-wolfskin-iceguard-funktionsmantel-408782612/#variationId=40879
AmaNaz8		PETER HAHN	10783288	89,9500	JerseyKleidmit34Arm	46	FARBEN	113_AmaNaz8	http://www.peterhahn.de/uta-raasch-jersey-kleid-mit-3-4-arm-weiss-multicolor-107832.html
