Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
Marina_pik		GERRY_WEBER	37100316004	39,9900	GLAMOUROSGESTYLTESPATCH-SHIRT	42	Schwarz Druck	1189_Marina_pik		1,0000
Marina_pik		GERRY_WEBER	27159226053	25,9900	LASSIGESSHIRTMITLUREX-NAHTEN	40	Empiregrun	1190_Marina_pik		1,0000
Marina_pik		GERRY_WEBER	87103011026	29,9900	GLITZERNDERPULLOVER	40	schwarz/gold	1191_Marina_pik		1,0000
Marina_pik		GERRY_WEBER	87102811028	29,9900	MODISCHGLANZENDERPULLOVER	40	Platin Melange	1192_Marina_pik		1,0000
