Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL
KozSve		AMAZON	ESAX01S	14,9500	AmelloArmbandKeramikRingschwarzDamenEdelstahlschmuckStainlessSteelESAX01S	0	Schwarz	280_KozSve	http://www.amazon.de/Amello-Armband-Edelstahlschmuck-Stainless-ESAX01S/dp/B00DEH1V4A/ref=sr_1_75?s=jewelry&ie=UTF8&qid=1418281584&sr=1-75
KozSve		AMAZON	E40504	19,5000	KarismaEdelstahlDamenOhrringe-SchwarzeKeramikGlieder-HochPoliertHohe37mmE4050-4	0	Schwarze	306_KozSve	http://www.amazon.de/Karisma-Edelstahl-Damen-Ohrringe-Schwarze/dp/B00GBJWGUG/ref=sr_1_125?s=jewelry&ie=UTF8&qid=1418365945&sr=1-125
KozSve		AMAZON	ESOX01S	9,9500	AmelloOhrringeKeramikRingschwarzDamenOhrsteckerEdelstahlschmuckStainlessSteelESOX01S	0	Schwarze	307_KozSve	http://www.amazon.de/Amello-Ohrstecker-Edelstahlschmuck-Stainless-ESOX01S/dp/B00DEFQFNO/ref=sr_1_14?s=jewelry&ie=UTF8&qid=1418384445&sr=1-14
KimMar		H&M	448165	10,0000	Slacks	42	Dunkelblau/Gemustert	382_KimMar	http://www.hm.com/de/product/02192?article=02192-P#article=02192-P
KimMar		H&M	433467	12,0000	Feinstrick-Pullover	S	Hellgraumeliert	383_KimMar	http://www.hm.com/de/product/30665?article=30665-D#article=30665-C
KimMar		H&M	416813	9,0000	Sneakers	40	Silber	388_KimMar	http://www.hm.com/de/product/28000?article=28000-B&variant=040
