Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
LiNat		MANGO	33083518	7,9900	SWEATSHIRT	S	Schwarz	1142_LiNat		1,0000
LiNat		H&M	380553	5,9900	Langarmbody	86	Wei?	1149_LiNat		1,0000
LiNat		H&M	495336	5,0000	Schiebermutze	86	Dunkelblau/Gestreift	1151_LiNat		1,0000
LiNat		H&M	478613	9,9900	Jeansbluse	98	Hellblau	1153_LiNat		1,0000
LiNat		H&M	524986	5,0000	Tasche		Rosa	1157_LiNat		1,0000
LiNat		H&M	464423	5,9900	Poloshirt	86	Wei?	1158_LiNat		1,0000
LiNat		H&M	470168	9,9900	Hemd	86	Wei?	1159_LiNat		1,0000
